airport,year,avg_arr_delay,carrier_delay,weather_delay,nas_delay,late_aircraft_delay,avg_fare,total_passengers,total_delay
ACY,2021,3154.8333333333335,10843.0,2411.0,13093.0,10482.0,91.175,269.0,36829.0
VLD,2020,406.38461538461536,3591.0,616.0,742.0,334.0,,,5283.0
CAE,2021,671.5901639344262,17767.0,2937.0,5066.0,15097.0,216.36875,379.0,40867.0
GEG,2021,1490.796460176991,81172.0,12398.0,15648.0,58772.0,169.77022222222223,6464.0,167990.0
KTN,2020,558.9333333333333,3011.0,517.0,1697.0,3137.0,,,8362.0
ITO,2020,277.10714285714283,4538.0,185.0,118.0,2887.0,,,7728.0
ACT,2020,337.3529411764706,1992.0,784.0,1233.0,1726.0,,,5735.0
CHO,2022,955.0666666666667,3482.0,1550.0,4111.0,5183.0,280.555,210.0,14326.0
KOA,2022,1545.4,22215.0,779.0,5864.0,17238.0,,,46096.0
USA,2022,1422.2,1698.0,756.0,1329.0,3287.0,,,7070.0
GUC,2022,937.75,7353.0,83.0,42.0,3775.0,,,11253.0
PBI,2021,2183.6220472440946,111571.0,12736.0,77948.0,74376.0,217.2251219512195,25663.0,276631.0
DBQ,2020,393.4,982.0,563.0,999.0,1390.0,,,3934.0
MSY,2022,3703.9718309859154,101209.0,12267.0,43258.0,105106.0,229.3295286195286,48522.0,261840.0
BTM,2022,557.6,2238.0,78.0,0.0,472.0,,,2788.0
DAY,2021,897.8717948717949,22755.0,6437.0,9428.0,31221.0,,,69841.0
LFT,2021,803.3076923076923,14821.0,3768.0,4452.0,18640.0,,,41681.0
KOA,2021,1208.2222222222222,41871.0,2135.0,16023.0,26833.0,,,86862.0
ITO,2021,611.4117647058823,9302.0,449.0,2757.0,8249.0,,,20757.0
ROW,2021,1388.5,5177.0,640.0,274.0,13327.0,,,19418.0
TYR,2021,699.2307692307693,2304.0,1665.0,1309.0,3756.0,,,9034.0
PUB,2021,1182.4166666666667,8997.0,3005.0,0.0,2187.0,,,14189.0
CVG,2020,1320.4405594405594,72404.0,10740.0,30895.0,74490.0,174.02220388349517,10460.0,188529.0
IAD,2020,1861.616,105874.0,17833.0,55985.0,52850.0,192.46454966329964,25443.0,232542.0
RSW,2020,1385.3652173913044,61793.0,6664.0,46571.0,44090.0,190.76421551724138,17593.0,159118.0
PIA,2020,337.078125,8099.0,2940.0,3596.0,6880.0,150.73899999999998,446.0,21515.0
HYS,2020,650.3333333333334,5511.0,540.0,1082.0,671.0,,,7804.0
HHH,2020,714.5416666666666,5632.0,4347.0,3457.0,3567.0,,,17003.0
FAI,2022,1110.4666666666667,8509.0,592.0,3468.0,4057.0,,,16626.0
OGD,2022,110.75,278.0,0.0,58.0,107.0,,,443.0
